category,type,model,brief_description,detailed_description,brand,price_cny,quantity,total_amount_cny,supported_series,resolution,currentRangeMin,currentRangeMax,voltageRangeMin,voltageRangeMax,sampleRate,isCurrent,isOutput,lowLevelMinVoltage,lowLevelMaxVoltage,highLevelMinVoltage,highLevelMaxVoltage,supportsFlexibleInputModes,resistanceResolution,resistanceRangeMin,resistanceRangeMax,supportsRS232,supportsRS422,supportsRS485,maxBaudRate,supportsCAN20A_B,is_isolated,analogInputChannels,analogOutputChannels,digitalInputChannels,digitalOutputChannels,digitalIOChannels,serialPortChannels,canBusChannels,pwmOutputChannels,encoderChannels,ssiBusChannels,spiBusChannels,i2cBusChannels,pcmLvdChannels,bissCChannels,afdxChannels,ppsPulseChannels,rtdResistanceChannels
,多功能采集板卡,Links-IPC-DAQ-05,"16路A/D并行采集，16位分辨率，±10 V（可客制-30V～+30V），采样率100kHz；
16路D/A并行输出，16位分辨率，±10 V，数据更新率100KHz；
32路数字I/O线（5V CMOS/TTL），可软件配置为DI、DO、计数器输入/输出，PWM输入/输出，16个32位计数器。","16路A/D并行采集，16位分辨率，±10 V（可客制-30V～+30V），采样率100kHz；
16路D/A并行输出，16位分辨率，±10 V，数据更新率100KHz；
32路数字I/O线（5V CMOS/TTL），可软件配置为DI、DO、计数器输入/输出，PWM输入/输出，16个32位计数器。",灵思创奇,250,1,250,Links-BOX,16,,,-10.0,10.0,100000.0,False,False,,,,,,,,,,,,,,,16,16,,,32,,,,,,,,,,,,
,多功能采集板卡,Links-IPCe-DAQ-06,"1）32路单端/16路差分A/D输入，16位分辨率，采样率0KHz，输入范围±10V/±5V/±2.5V/±1.25V/±0.625V可设；
2）4路同步D/A输出，16位分辨率，单通道更新率最大可达2.8M Samples/S，±10V, ±5V输出；
3)4通道32位定时器/计数器","1）32路单端/16路差分A/D输入，16位分辨率，采样率0KHz，64M FIFO,输入范围±10V/±5V/±2.5V/±1.25V/±0.625V可设；
2）4路同步D/A输出，16位分辨率，单通道更新率最大可达2.8M Samples/S，±10V, ±5V输出；
3)48路DIO，TTL电平，软件可配；（细化参数，功能单一，找交付）
4)4通道32位定时器/计数器",灵思创奇,190,1,190,Links-BOX,16,,,-10.0,10.0,0.0,False,,,,,,,,,,,,,,,,32,4,,,,,,,,,,,,,,,
,多功能采集板卡,Links-IPC-DAQ-07,"1）32路单端/16路差分A/D输入，16位分辨率，采样率100KHz,输入范围±10V/±5V/±2.5V/±1.25V可设；
2）16通道DO，16通道DI，20VRMS隔离；
3) 1 通道32位定时器/计数器","1）32路单端/16路差分A/D输入，16位分辨率，采样率100KHz,输入范围±10V/±5V/±2.5V/±1.25V可设；
2）16通道DO，16通道DI，20VRMS隔离；
3)1通道32位定时器/计数器",灵思创奇,90,1,90,Links-BOX,16,,,-10.0,10.0,100000.0,False,False,,,,,,,,,,,,,,True,32,,16,16,,,,,,,,,,,,,
,多功能采集卡（DA通道已经调整为4路）板卡,Links-IPC-DAQ-08,"12路PWM输出通道，每路可独立控制，10Hz~1MHz，可以两路一组构成互补输出关系（死区可设置）；
2路增量式正交编码器采集通道，32位计数器，可直接输出角度和角速度；
6路差分信号输入通道，可配置为霍尔编码器采集；
8路并行A/D，16位分辨率，±10V，采样率100kHz；
4路DA，16位分辨率，±10V；
8路DI，8路DO，TTL电平；
2路5V供电输出，单路最大电流输出200mA；
2路数字I/O线（5V CMOS/TTL），可配置为脉冲采集通道，可采集脉冲频率和占空比，32位计数器。","12路PWM输出通道，每路可独立控制，10Hz~1MHz，可以两路一组构成互补输出关系（死区可设置）；
2路增量式正交编码器采集通道，32位计数器，可直接输出角度和角速度；
6路差分信号输入通道，可配置为霍尔编码器采集；
8路并行A/D，16位分辨率，±10V，采样率100kHz；
4路DA，16位分辨率，±10V；
8路DI，8路DO，TTL电平；
2路5V供电输出，单路最大电流输出200mA；
2路数字I/O线（5V CMOS/TTL），可配置为脉冲采集通道，可采集脉冲频率和占空比，32位计数器。",灵思创奇,90,1,90,Links-BOX,16,,,-10.0,10.0,100000.0,,,,,,,,,,,,,,,,,8,4,8,8,2,,,12,2,,,,,,,,
,模拟量输出板卡,Links-IPC-DA-03,"16通道电压或电流输出（软件可配）
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）","16通道电压或电流输出（软件可配）
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）",灵思创奇,150,1,150,Links-BOX,16,0.0,0.02,-10.0,10.0,,,True,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
,模拟量输出板卡,Links-IPC-DA-04,"16通道电压或电流输出（软件可配）
16通道数字量输入/输出（软件可配）
每8通道数字量一组，方向整组设置
5V CMOS电平，兼容5V TTL电平
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）","16通道电压或电流输出（软件可配）
16通道数字量输入/输出（软件可配）
每8通道数字量一组，方向整组设置
5V CMOS电平，兼容5V TTL电平
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）",灵思创奇,180,1,180,Links-BOX,16,0.0,0.02,-10.0,10.0,,,True,,,,,,,,,,,,,,,,16,,,16,,,,,,,,,,,,
,同步模拟量采集板卡,Links-IPC-AD-01,"16通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.1%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.1%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）","16通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.1%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.1%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）",灵思创奇,190,1,190,Links-BOX,16,-0.02,0.02,-10.0,10.0,200000.0,,False,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
,同步模拟量采集板卡,Links-IPC-AD-02,"32通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.2%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.2%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）","32通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.2%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.2%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）",灵思创奇,190,1,190,Links-BOX,16,-0.02,0.02,-10.0,10.0,200000.0,,False,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,
,同步模拟量采集板卡,Links-IPC-AD-03,"16/32通道模拟量采集
每通道100Ksps采样速率
输入电压范围：+10V～-10V，支持客制至+30V～-30V
输入电流范围：+20mA～-20mA
电流采样电阻：470Ω@0.250mW，精度0.1%
电压输入模式输入阻抗：10MΩ，精度10%","16/32通道模拟量采集
每通道100Ksps采样速率
输入电压范围：+10V～-10V，支持客制至+30V～-30V
输入电流范围：+20mA～-20mA
电流采样电阻：470Ω@0.250mW，精度0.1%
电压输入模式输入阻抗：10MΩ，精度10%",灵思创奇,270,1,270,Links-BOX,,-0.02,0.02,-10.0,10.0,100000.0,,False,,,,,,,,,,,,,,True,32,,,,,,,,,,,,,,,,
,串口板卡,Links-IPC-SER-01,PCI接口，8路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps，板载128字节FIFO,PCI接口，8路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps，板载128字节FIFO，采用标准的16PCI954 UART,灵思创奇,60,1,60,Links-BOX,,,,,,,,,,,,,,,,,True,True,True,921600,,,,,,,,8,,,,,,,,,,,
,串口板卡,Links-IPCe-SER-02,PCIe接口，8路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps，板载128字节FIFO,PCIe接口，8路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps，板载128字节FIFO，采用高性能的PCIe958 UART,灵思创奇,60,1,60,Links-BOX,,,,,,,,,,,,,,,,,True,True,True,921600,,,,,,,,8,,,,,,,,,,,
,串口板卡,Links-IPC-SER-03,PCI接口，4路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps,PCI接口，4路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps，板载256字节FIFO，采用高性能的XR17V354芯片；,灵思创奇,60,1,60,Links-BOX,,,,,,,,,,,,,,,,,True,True,True,921600,,,,,,,,4,,,,,,,,,,,
,CAN接口板卡,Links-IPC-CAN,CAN总线接口，2个高速通道，16Mhz控制速率， 1Mbps传输率，20V隔离 ；,CAN总线接口，2个高速通道，16Mhz控制速率， 1Mbps传输率，20V隔离 ；,灵思创奇,60,1,60,Links-BOX,,,,,,,,,,,,,,,,,,,,1000000,True,True,,,,,,,2,,,,,,,,,,
,CAN/CAN-FD接口板卡,Links-IPC-CANFD-04,"4通道CAN/CAN-FD卡，DB37接口。
CAN 通讯波特率在 40Kbps~1Mbps 之间任意可编程；
CANFD 波特率在 1Mbps~5Mbps 之间任意可编程；","4通道CAN/CAN-FD卡，DB37接口。
CAN 通讯波特率在 40Kbps~1Mbps 之间任意可编程；
CANFD 波特率在 1Mbps~5Mbps 之间任意可编程；
单通道发送最高数据流量：40 帧/秒（远程帧、单帧发送）；
单通道接收最高数据流量：100 帧/秒（远程帧）；
提供Linux驱动，支持电气隔离，支持ISO/Bosch CANFD标准，支持车载DBC协议收发，支持车载UDS协议诊断，支持CANopen与J1939协议分析，带120Ω终端电阻。",灵思创奇,80,1,80,Links-BOX,,,,,,,,,,,,,,,,,,,,5000000,True,,,,,,,,4,,,,,,,,,,
,CAN/CAN-FD接口板卡,Links-IPC-CANFD-02,"2通道CAN/CAN-FD卡，DB9接口。
CAN 通讯波特率在 40Kbps~1Mbps 之间任意可编程；
CANFD 波特率在 1Mbps~5Mbps 之间任意可编程；
","2通道CAN/CAN-FD卡，DB9接口。
CAN 通讯波特率在 40Kbps~1Mbps 之间任意可编程；
CANFD 波特率在 1Mbps~5Mbps 之间任意可编程；
单通道发送最高数据流量：40 帧/秒（远程帧、单帧发送）；
单通道接收最高数据流量：100 帧/秒（远程帧）；
提供Linux驱动，支持电气隔离，支持ISO/Bosch CANFD标准，支持车载DBC协议收发，支持车载UDS协议诊断，支持CANopen与J1939协议分析，带120Ω终端电阻。",灵思创奇,60,1,60,Links-BOX,,,,,,,,,,,,,,,,,,,,5000000,True,,,,,,,,2,,,,,,,,,,
